avis,Frekvens,postnummer, antall 
5,123456,2850, 1 
5,123456,3320, 1 
5,123456,3577, 1 
5,123456,4260, 1 
5,123456,5211, 6 
5,123456,5263, 2 
5,123456,5283, 3 
5,123456,5285, 3 
5,123456,5384, 1 
5,123456,5394, 4 
5,123456,5397, 2 
5,123456,5411, 1 
5,123456,5414, 2 
5,123456,5430, 1 
5,123456,5600, 15 
5,123456,5610, 6 
5,123456,5612, 1 
5,123456,5614, 3 
5,123456,5620, 4 
5,123456,5630, 5 
5,123456,5636, 1 
5,123456,5640, 3 
5,123456,5643, 2 
5,123456,5645, 2 
5,123456,5647, 1 
5,123456,5650, 8 
5,123456,5652, 6 
5,123456,5680, 1 
5,123456,5683, 2 
5,123456,5685, 5 
5,123456,5687, 1 
5,123456,5694, 1 
5,123456,5706, 4 
5,123456,5707, 3 
5,123456,5708, 6 
5,123456,5709, 5 
5,123456,5710, 5 
5,123456,5713, 6 
5,123456,5722, 3 
5,123456,5725, 5 
5,123456,5727, 1 
5,123456,5728, 2 
5,123456,5730, 4 
5,123456,5743, 1 
5,123456,5745, 1 
5,123456,5780, 2 
5,123456,5781, 1 
5,123456,5947, 2 
5,123456,5960, 2 
5,123456,5966, 1 
5,123456,5981, 3 
5,123456,5983, 2 
5,123456,5984, 1 
5,123456,5986, 6 
5,123456,5993, 4 
5,123456,6100, 1 
5,123456,6711, 1 
5,123456,6783, 1 
5,123456,6814, 1 
5,123456,6827, 1 
5,123456,6848, 1 
5,123456,6887, 1 
5,123456,6899, 1 
5,123456,6900, 1 
5,123456,6905, 1 
5,123456,6916, 1 
5,123456,6957, 1 
5,123456,6978, 1 
5,123456,6995, 1 
5,123456,6996, 1 
37,235,1488, 1 
37,235,1580, 1 
37,235,2150, 1 
37,235,2335, 1 
37,235,2372, 1 
37,235,2616, 1 
37,235,3160, 1 
37,235,3239, 1 
37,235,3294, 1 
37,235,3760, 1 
37,235,4110, 1 
37,235,4130, 1 
37,235,4170, 1 
37,235,4198, 1 
37,235,4200, 1 
37,235,4230, 1 
37,235,4234, 1 
37,235,4250, 1 
37,235,4308, 5 
37,235,4331, 15 
37,235,4333, 1 
37,235,4334, 16 
37,235,4335, 2 
37,235,4342, 129 
37,235,4372, 4 
37,235,4375, 6 
37,235,4376, 3 
37,235,4380, 2 
37,235,4387, 4 
37,235,4389, 8 
37,235,4404, 2 
37,235,4440, 1 
37,235,4480, 1 
37,235,4516, 1 
37,235,4520, 2 
37,235,4521, 2 
37,235,4580, 2 
37,235,4596, 1 
37,235,4623, 1 
37,235,4640, 3 
37,235,4715, 1 
37,235,4735, 1 
37,235,4754, 1 
37,235,4818, 2 
37,235,4900, 1 
37,235,4980, 1 
37,235,6363, 1 
37,235,6480, 1 
37,235,6694, 1 
37,235,7224, 1 
37,235,7290, 1 
37,235,8540, 1 
37,235,8664, 1 
11,246,1389, 5 
11,246,1900, 1 
