navn,adresse,postnummer,poststed
KIWI 044 LÆRDAL,ØYRAPLASSEN 11,6887,LÆRDAL
KIWI 857 KLEPPESTØ,Gamle Kleppestøvegen 2,5300,KLEPPESTØ
KIWI 853 ULSET,FOSSEKLEIVA 39,5119,ULSET
KIWI 858 BIRKEVEIEN,BIRKEVEIEN 43,5089,BERGEN
KIWI 860 Hermansverk,RIVERDALEN 5,6863,LEIKANGER
JOKER STOLMEN,ÅRLAND 124,5398,STOLMEN
MENY STØLETORGET,STØLEGATEN 15,5003,BERGEN
MENY OASEN BERGEN,FOLKE BERNADOTTES VEI 50,5147,FYLLINGSDALEN
Joker Ølve,ØLVESVEGEN 514,5637,ØLVE
Bunnpris Eidsbotn,SLØVÅGEN 2,5960,DALSØYRA
MENY SOGNDAL,HOVEVEGEN 6,6856,SOGNDAL
EXTRA PRESTESTIEN,MYRDALSKOGEN 2,5118,ULSET
COOP PRIX MELKEPLASSEN,ARNE ABRAHAMSENS VEI 1,5161,LAKSEVÅG
KIWI 821 HAUS,ARNA JERNBANESTASJON,5286,HAUS
KIWI 814 TERTNES,TERTNESVEIEN 88,5113,TERTNES
YX Osterøy,OSTERØYVEGEN 925,5281,VALESTRANDSFOSSEN
REMA 1000 Nygård,GRAVDALSVEIEN 4,5165,LAKSEVÅG
EXTRA BØNES,ØVRE KRÅKENES 115,5152,BØNES
KIWI 831 IKENBERGET,ALVERFLATEN,5911,ALVERSUND
KIWI 867 HETLEVIKÅSEN,MATHOPSVEIEN 58,5173,LODDEFJORD
BJØRKHEIM KRO & MOTELL,BJØRKHEIM 5,5652,ÅRLAND
KIWI 868 SKJOLDSKIFTET,OSVEIEN 3,5227,NESTTUN
KIWI 638 Rubbestadneset,SØRESJØVEGEN 5,5420,RUBBESTADNESET
REMA 1000 XHIBITION,SMÅSTRANDGATEN 3,5014,BERGEN
SPAR TYSNES,HEGGLANDSVEGEN 33,5680,TYSNES
COOP PRIX VAKSDAL,BOTNAVEGEN 10,5726,VAKSDAL
Extra Voss,SVERRESPLASSEN 3,5700,VOSS
EXTRA SKULESTADMO,NEDKVITNESVEGEN 2,5710,SKULESTADMO
EXTRA HÅKONSGATEN,HÅKONSGATEN 36,5015,BERGEN
KIWI 870 FLORVÅG,Florvågvegen 93,5305,FLORVÅG
KIWI 871 FJALER,Dalstunet 6,6963,DALE I SUNNFJORD
KIWI 873 HAMREHJØRNET,GABRIEL TISCHENDORFS VEI 16,5162,LAKSEVÅG
KIWI 874 Lindås Senter,KOLÅSVEGEN 7,5955,LINDÅS
MENY MIDTUN,SANDBREKKEVEGEN 96,5225,NESTTUN
SPAR SIKTHAUGEN,SIKTHAUGEN TERRASSE 1,5145,FYLLINGSDALEN
SPAR Eikeviken,HELLEVEIEN 141,5039,BERGEN
REMA 1000 Knarvik,KVASSNESVEGEN 23,5914,ISDALSTØ
Bunnpris Eikelandsosen,TORSNESET 9,5640,EIKELANDSOSEN
KIWI 875 BIRKELUNDSTOPPEN,BIRKELUNDSBAKKEN 59,5231,PARADIS
Bunnpris Fana,TITLESTADVEGEN 230,5243,FANA
EXTRA MATHOPEN,SKAREVEIEN 1,5174,MATHOPEN
SPAR Bønes,VÅKLEIVEN 43,5155,BØNES
KIWI 801 FREKHAUG,HAVNEVEGEN 72,5918,FREKHAUG
KIWI 876 BJØRKHEIM,BJØRKHEIM 10,5652,ÅRLAND
EXTRA APELTUN,NEDRE NØTTVEIT 12,5238,RÅDAL
KIWI 877 ØYSTESE,SJUSETEVEGEN 6,5610,ØYSTESE
SPAR Øyjorden,ØYJORDSVEIEN 1,5038,BERGEN
KIWI 856 SØRÅS,FOLLDALSLIA 1,5239,RÅDAL
KIWI 878 BIRKEBEINERSENTERET,NYE SANDVIKSVEIEN 9,5003,BERGEN
MENY FANTOFT,FANTOFTVEGEN 14,5072,BERGEN
KIWI 903 MÅLØY,SJØGATA 8,6700,MÅLØY
MENY SLETTEN,VILHELM BJERKNES' VEI 10,5081,BERGEN
SPAR HYLKJE,HYLKJEBAKKEN 1,5109,HYLKJE
KIWI 906 DEKNEPOLLEN,NORDFJORDVEGEN 9248,6718,DEKNEPOLLEN
KIWI 880 STRANDGATEN BERGEN,STRANDGATEN 204,5004,BERGEN
Extra Kalfarveien,KALFARVEIEN 76,5022,BERGEN
Nærbutikken Eikangervåg,SVINDALSVEGEN 3,5913,EIKANGERVÅG
SPAR Rong,ARSETTUNET 1,5337,RONG
BUNNPRIS HOPE,INNDALSVEIEN 102,5063,BERGEN
KIWI 882 GODVIK,ALVEHAUGEN 4,5179,GODVIK
SPAR Tjeldstø,JENSVARDVEGEN 1,5336,TJELDSTØ
HAGAVIK HJEMMEBAKERI AS,GRENDEVOLL,5217,HAGAVIK
KIWI 884 ARNATVEIT,ARNATVEITVEGEN 155,5262,ARNATVEIT
KIWI 865 Kronstad X,BJØRNSONS GATE 29,5052,BERGEN
Bunnpris Hjellestad,HJELLESTADVEGEN 313,5259,HJELLESTAD
SPAR Lone,HARDANGERVEGEN 700,5268,HAUKELAND
KIWI 881 NØSTET,NØSTEGATEN 31,5010,BERGEN
SPAR BLOMSTERDALEN,LILANDSVEGEN 3,5258,BLOMSTERDALEN
EXTRA Øystese,SJUSETEVEGEN 5,5610,ØYSTESE
Joker Sandviken,GJEBLE PEDERSSØNS GATE 13,5034,BERGEN
ÅSTVEIT HELSESENTER,ÅSTVEITVEIEN 73,5106,ØVRE ERVIK
KIWI 803 JONAS LIES VEI,JONAS LIES VEI 62,5053,BERGEN
Bunnpris Havreneset,HAVRENESVEGEN 50,6905,FLORØ
TOBAKK SØRENSEN AS,TORGALLMENNINGEN 8,5014,BERGEN
SPAR Hatlestrand,HATLESTRANDSVEGEN 645,5635,HATLESTRAND
YX SKOGSVÅG,SKOGSVÅG,5382,SKOGSVÅG
ROALDS KRO,ÅSAMYRANE 76,5116,ULSET
SPAR Eivindvik,EIVINDVIKVEGEN 1100,5966,EIVINDVIK
EXTRA BLOMSTERDALEN,LILANDSVEGEN 3,5258,BLOMSTERDALEN
MENY KLEPPESTØ,GAMLE KLEPPESTØVEGEN 2,5300,KLEPPESTØ
MENY RAVNANGER,KOLLEVÅGVEGEN 6,5310,HAUGLANDSHELLA
KIWI 887 Toppe,NORDRE TOPPE 1,5136,MJØLKERÅEN
KIWI 885 HAUGSNESET,STEINNESET 2,5200,OS
SPAR Husnes,SENTRUMSVEGEN 3,5460,HUSNES
SPAR AMFI OS,PRESTEGARDSKOGEN 2,5210,OS
MENY OS,INDUSTRIVEGEN 2,5210,OS
Joker Haugsvær,SOGNEVEGEN 2226,5983,HAUGSVÆR
YX Eidfjord,EIDFJORDVEGEN 269,5783,EIDFJORD
REMA 1000 Lynghaugparken,DAG HAMMARSKJÖLDS VEI 1,5144,FYLLINGSDALEN
REMA 1000 Godvik,ALVEHAUGEN 2,5179,GODVIK
REMA 1000 ASKØY,JUVIKFLATEN 11,5308,KLEPPESTØ
KIWI 888 INDRE ARNA,STØLSVEGEN 1,5260,INDRE ARNA
KIWI 886 Oasen,FOLKE BERNADOTTES VEI 52,5147,FYLLINGSDALEN
MENY DOLVIKEN,DOLVIKVEGEN 36,5252,SØREIDGREND
KIWI 889 SØREIDE,YTREBYGDSVEGEN 41,5251,SØREIDGREND
REMA 1000 Midtun,SANDDALSRINGEN 1,5225,NESTTUN
SPAR VOSS,UTTRÅGATA 16,5700,VOSS
KIWI 855 BJØRGEVEIEN,BJØRNDALSSTØLEN 2,5171,LODDEFJORD
REMA 1000 ELVENESET,ELVENESVEGEN 18,5223,NESTTUN
Joker Revnestranden,SUNDVORVEGEN 670,5647,BALDERSHEIM
REMA 1000 ÅGOTNES,SKJÆRGÅRDSVEGEN 1384,5363,ÅGOTNES
NÆRBUTIKKEN MYKING,MYKINGVEGEN 1151,5957,MYKING
SPAR FLORØ,STRANDGATA 42,6905,FLORØ
EXTRA ODDA,SMELTEVERKET 18,5750,ODDA
Matkroken Blekenberg,BLEKENBERG 6,5055,BERGEN
EXTRA DAMSGÅRD,DAMSGÅRDSVEIEN 205,5160,LAKSEVÅG
SPAR HAGA,HYSTADVEGEN 250,5416,STORD
COOP PRIX MARKEN,MARKEN 3,5017,BERGEN
COOP PRIX NORHEIMSUND,GROVA 16,5600,NORHEIMSUND
SPAR Uskedalen,SANDAVEGEN 13,5463,USKEDALEN
Bunnpris Bøvågen,BØVÅGEN 1,5937,BØVÅGEN
NÆRBUTIKKEN FESTE,Festevegen 460,5912,SEIM
MATKROKEN HJELMÅS,LEKNESVEGEN 389,5915,HJELMÅS
EXTRA HELLEVEIEN,HELLEVEIEN 263,5039,BERGEN
Bunnpris Lundegrend,LUNDAVEGEN 171,5690,LUNDEGREND
Joker Spilde,THORMØHLENS GATE 28,5006,BERGEN
Joker Hanøy,HANØYVEGEN 405,5310,HAUGLANDSHELLA
SPAR Kjerrgarden,SKUTLEVIKA 1,5314,KJERRGARDEN
SPAR MONGSTAD,VARDEVEGEN 81,5953,FONNES
SPAR JONDAL,,5627,JONDAL
KIWI 859 MOBERG,STORHAUGEN 2,5209,OS
KIWI 879 ROLLAND,ROLLANDSLIA 51,5115,ULSET
REMA 1000 KALMARHUSET,JON SMØRS GATE 11,5011,BERGEN
REMA 1000 LANDÅS,NATTLANDSVEIEN 84,5094,BERGEN
Matkroken Dalsøyra,GULAFJORDVEGEN 1424,5960,DALSØYRA
REMA 1000 DROTNINGSVIK,DROTNINGSVIKVEIEN 132,5179,GODVIK
KIWI 607 KUNNSKAPSHUSET,SÆ 138,5417,STORD
REMA 1000 ØYRANE TORG,ÅDNAVEGEN 63,5260,INDRE ARNA
JOKER KORSSUND,,6964,KORSSUND
COOP PRIX JONDAL,Jonavegen 5,5627,JONDAL
KIWI 822 HUSNES,SENTRUMSVEGEN 41,5460,HUSNES
KIWI 823 SPELHAUGEN,KROKATJØNNVEIEN 11,5147,FYLLINGSDALEN
JOKER BRØNNDALEN,BRØNNDALSÅSEN 1,5176,LODDEFJORD
REMA 1000 WERGELAND,FAGERÅSVEIEN 2,5067,BERGEN
JOKER USTAOSET,USTAOSVEGEN 259,3593,USTAOSET
EXTRA DALEKVAM,KONSUL JEBSENSGATA 3,5722,DALEKVAM
COOP PRIX ULVIK,SKEIESVEGEN 15,5730,ULVIK
SPAR NORHEIMSUND,Gamle Dalaveg 3,5600,NORHEIMSUND
REMA 1000 Garnesveien,GARNESVEGEN 7,5260,INDRE ARNA
COOP OBS BYGG ÅSANE,NORDRE BRURÅS 14,5131,NYBORG
COOP OBS LAGUNEN,LAGUNEVEIEN 1,5239,RÅDAL
REMA 1000 ULSET,HESTHAUGVEGEN 16,5119,ULSET
Nærbutikken Sandviken,EKREGATEN 15,5036,BERGEN
COOP OBS VESTKANTEN,LODDEFJORDVEIEN 2,5171,LODDEFJORD
COOP MEGA NORDÅS,SØRÅSHØGDA 9,5235,RÅDAL
REMA 1000 Kjøkkelvik,NEDBERGEVEIEN 7,5178,LODDEFJORD
Obs Sartor,SARTORVEGEN 12,5353,STRAUME
EXTRA MANGER,RADØYVEGEN 1680,5936,MANGER
Joker Byrknesøy,SØRE GARDEN 4,5970,BYRKNESØY
EXTRA ASKØY,KLEPPEVEGEN 110,5308,KLEPPESTØ
EXTRA NESTTUN,ØSTRE NESTTUNVEGEN 16,5221,NESTTUN
"EXTRA FØRDEGÅRDEN, 4600",NAUSTDALSVEGEN 5,6800,FØRDE
EXTRA LONEVÅG,FOTLANDSVEGEN 7,5282,LONEVÅG
SPAR Bjørkheim,BJØRKHEIM 26,5652,ÅRLAND
MENY BERGEN STORSENTER,STRØMGATEN 8,5015,BERGEN
COOP PRIX VOSS,UTTRÅGATA 36,5700,VOSS
SPAR GEILO,KYRKJEVEGEN 18,3580,GEILO
COOP PRIX YTRE ARNA,PETER JEBSENS VEG 19,5265,YTRE ARNA
Extra Vadmyra,VADMYRVEIEN 48,5172,LODDEFJORD
EXTRA VALESTRAND,VALESTRANDSVEGEN 379,5281,VALESTRANDSFOSSEN
MIX G KLØVE LL,VANGSGATA 44,5700,VOSS
EXTRA DANMARKSPLASS,SOLHEIMSGATEN 33,5054,BERGEN
ESSO ØYSTESE,LUNDANES 2,5610,ØYSTESE
Varaldsøy Handel,KYRKJEBYGDVEGEN 1,5636,VARALDSØY
EXTRA NYBORG,ÅSAMYRANE 271,5131,NYBORG
Coop Prix Strandebarm,Tangeråshaugen 5,5630,STRANDEBARM
Extra Osøyro,MIDTPUNKTHUSET,5200,OS
EXTRA FANA,FANAVOLLEN 2,5244,FANA
KIWI 826 ALLEHELGENSGATE,ALLEHELGENS GATE 2,5016,BERGEN
MENY Åsane Storsenter,ÅSANE SENTER 21,5116,ULSET
SPAR Hosteland,FENSFJORDVEGEN 613,5986,HOSTELAND
KIWI 202 Geilo,KYRKJEVEGEN 1,3580,GEILO
KIWI 862 Krokeideveien,KROKEIDEVEGEN 13,5244,FANA
EXTRA HØYANGER,STORGATA 19,6993,HØYANGER
KIWI 817 SANDSLI,SANDSLIHAUGEN 1,5254,SANDSLI
KIWI 806 Olsvik,OLSVIKÅSEN 8,5183,OLSVIK
KIWI 812 VANGEN,UTTRÅGATA 11,5700,VOSS
KIWI 811 PALMAFOSSEN,TJUKKEBYGDVEGEN 16,5706,VOSS
Bunnpris Welhavensgate,WELHAVENS GATE 52,5006,BERGEN
KIWI 818 BØHMERGATEN,BØHMERGATEN 44,5057,BERGEN
KIWI 808 LAKSEVÅG SENTER,KRINGSJÅVEIEN 83,5163,LAKSEVÅG
MENY SARTOR,Sartorvegen 12,5353,STRAUME
MENY Lagunen,LAGUNEVEIEN 1,5239,RÅDAL
MENY VESTKANTEN,LODDEFJORDVEIEN 2,5171,LODDEFJORD
MENY VOSS,HARDANGERVEGEN 25,5705,VOSS
LERØY MAT,TORGALLMENNINGEN 8,5014,BERGEN
MENY KNARVIK,KVERNHUSMYRANE 7,5914,ISDALSTØ
KIWI 816 ÅGOTNES,SKJERGARDSVEGEN 1309,5363,ÅGOTNES
SPAR ØYRANE TORG,ÅDNAVEGEN 63,5260,INDRE ARNA
EUROPRIS JUVIK,JUVIKFLATEN 2,5308,KLEPPESTØ
ALVØEN SKOLE,JANAFLATEN 31,5179,GODVIK
REMA 1000 HAUKELANDSVEIEN,HAUKELANDSVEIEN 1,5009,BERGEN
REMA 1000 Skogsvåg,SØRE FJELLAVEGEN 756,5382,SKOGSVÅG
KIWI 820 Åsane Storsenter,ÅSANE SENTER 45,5116,ULSET
KIWI 815 GUDRIDFLATEN,GUDRIDFLATEN 3,5210,OS
EXTRA SÆDALEN,SÆDALSSVINGENE 3,5099,BERGEN
KIWI 809 PARADIS,TJERNVEGEN 30,5232,PARADIS
SPAR Kronstadparken,BJØRNSONS GATE 5,5059,BERGEN
REMA 1000 Kjerreidviken,KJERREIDVIKA 1,5141,FYLLINGSDALEN
KIWI 800 SUND SENTER,SUND SENTER,5382,SKOGSVÅG
REMA 1000 Lonevåg,LONEVÅGEN 8,5282,LONEVÅG
SPAR Steinsland,FORLANDSVEGEN 6,5379,STEINSLAND
Joker Stamnes,EIDSLANDSVEGEN 1045,5727,STAMNES
Circle K Haukås,NORDRE BRURÅS 2,5131,NYBORG
EXTRA LØVÅS,LØVÅSVEIEN 20,5145,FYLLINGSDALEN
Bunnpris Seimsfoss,SEIMSVEGEN 116,5472,SEIMSFOSS
KIWI 813 STRØMGATEN,STRØMGATEN 38,5008,BERGEN
KIWI 804 Øygarden,HAUGETUNVEGEN 32,5337,RONG
COOP OBS HORISONT,MYRDALSVEGEN 2,5130,NYBORG
Joker Uggdal,TOMYRO 1,5685,UGGDAL
KIWI 825 NYBORG,LIAKROKEN 2,5132,NYBORG
KIWI 863 JUVIK,Juvikflaten 36,5308,KLEPPESTØ
BUNNPRIS STEINSVIKEN,STEINSVIKVEGEN 256,5237,RÅDAL
KIWI 819 HØYANGER,MARCUS THRANESGATE 5,6993,HØYANGER
SPAR Vik,RØYSAVEGEN 2,6893,VIK I SOGN
EXTRA LONE,HARDANGERVEGEN 701,5268,HAUKELAND
EXTRA ULSET,HESTHAUGVEGEN 30,5119,ULSET
EXTRA SOGNDALSFJØRA,FJØREVEGEN 20,6856,SOGNDAL
REMA 1000 MELKEPLASSEN,ØVRE FYLLINGSVEIEN 77,5161,LAKSEVÅG
Circle K Helleveien,HELLEVEIEN 34,5042,BERGEN
Bunnpris Mulen,ØVRE SANDVIKSVEIEN 52,5034,BERGEN
EXTRA NAUSTDAL,TUNAVEGEN 4,6817,NAUSTDAL
Haukeland Hotell,JONAS LIES VEI 59,5021,BERGEN
REMA 1000 Fjøsanger,STRAUMEVEIEN 3,5073,BERGEN
REMA 1000 SKJOLD,ODINS VEG 61,5221,NESTTUN
Bunnpris Nøstet,NØSTEGATEN 52,5011,BERGEN
REMA 1000 Frekhaug,NORDGARDSHAUGEN 1,5918,FREKHAUG
Joker Søfteland,LANGEDALEN 3,5212,SØFTELAND
REMA 1000 OSTEREIDET,YTRE EIDE,5993,OSTEREIDET
METIS VIDEREGÅENDE SKOLE,LARS HILLES GATE 17,5008,BERGEN
Joker Sandvikstorget,SANDVIKSTORGET 11,5036,BERGEN
BUNNPRIS LINDVIK,BEKKEVEIEN 14,5096,BERGEN
Bunnpris Nygårdsgaten,NYGÅRDSGATEN 89,5008,BERGEN
EXTRA STOREBØ,STOREBØVEGEN 201,5392,STOREBØ
Bunnpris Ulvedalen Torg,ULVEDALEN 5,5134,FLAKTVEIT
Bunnpris Møllendalsbakken,MØLLENDALSVEIEN 61,5009,BERGEN
Bunnpris & Gourmet Sartor,SARTORVEGEN 12,5353,STRAUME
KIWI 866 HYLKJE,HYLKJEBAKKEN 3,5109,HYLKJE
BAKER BRUN TELEGRAFEN,starvhusgaten 4,5014,BERGEN
SOLBRØD NESTTUN SENTER,ØSTRE NESTTUNVEGEN 16,5221,NESTTUN
BAKER BRUN NESTTUN,østre nesttunvei 16,5221,NESTTUN
Extra Øvregaten,ØVREGATEN 37,5003,BERGEN
EIDSVÅG SKOLE,Granlia 1,5104,EIDSVÅG I ÅSANE
LANDÅS SKOLE,Landåsveien 31,5097,BERGEN
HAUKÅS SKOLE,Leikvangveien 21,5111,BREISTEIN
KJØKKELVIK SKOLE,Kjøkkelvikveien 27,5178,LODDEFJORD
ERDAL BARNESKOLE,Erdalsvegen 1,5306,ERDAL
DANIELSEN BARNE- OG UNGDOMSSKOLE,Idrettsvegen 20,5353,STRAUME
MJØLKERÅEN SKOLE,Marikollen 28,5136,MJØLKERÅEN
Søreide skole,Nordeidåsen 5,5251,SØREIDGREND
EXTRA MASTREVIK,Mastrevik torg,5943,AUSTRHEIM
Bunnpris Ågotnes,BLEIVASSVEGEN 2,5347,ÅGOTNES
EXTRA AUSTEVOLL,STOREBØ 40,5392,STOREBØ
JOKER BAKKASUND,BAHUS,5385,BAKKASUND
KIOSK1,INDUSTRIVEGEN 1,5210,OS
KVAMSKOGEN LANDHANDLERI,KVAMSKOGEN,5600,NORHEIMSUND
REMA 1000 Knudsenkvartalet,HJALMAR BRANTINGS VEI 2,5143,FYLLINGSDALEN
Bunnpris Torggaten,TORGGATEN 7,5014,BERGEN
Snarkjøp Bellevuebakken,NYSTUVEIEN 11,5019,BERGEN
BUNNPRIS AUSTMARKA,Søre Austmarka 9,5938,SÆBØVÅGEN
A291 BGO Point Int AS,FLYPLASSVEGEN 555,5258,BLOMSTERDALEN
Circle K Fjell,KLEIVANEVEGEN 4,5357,FJELL
METIS VIDEREGÅENDE SKOLE / Arild Borgen,LARS HILLES GATE 17,5008,BERGEN
BERGENSAVISEN,ODD FRANTZENS PLASS 5,5008,BERGEN
BERGENSAVISEN - ANNONSEAVD.,ODD FRANTZENS PLASS 5,5008,BERGEN
BERGENSAVISEN,VESTRE TORGGATEN 11,5015,BERGEN
REMA 1000 LINDÅS,KOLÅSVEGEN 3,5955,LINDÅS
REMA 1000 Sagvåg,SAGVÅGSVEGEN 501,5410,SAGVÅG
REMA 1000 Minde,KANALVEIEN 5,5068,BERGEN
ALVERSUND SKULE - Kristin Skråmestø,NEDRE ALVER 2,5911,ALVERSUND
ALVØEN SKOLE - Christian Pedersen,Alvøen skolevei 61,5179,GODVIK
FLORVÅG BARNESKOLE - Nikolai Sigvathsen,NEDRE HAGEN 2,5305,FLORVÅG
GRASDAL SKULE,ÅDLANDSVEGEN 323,5919,FREKHAUG
HELLEN SKOLE,HELLEVEIEN 118,5043,BERGEN
REMA 1000 KOKSTAD,KOKSTADVEGEN 15,5257,KOKSTAD
LANDÅS SKOLE - Karoline Hamre,LANDÅSVEIEN 33,5097,BERGEN
MIDTUN SKOLE,OSVEGEN 10,5228,NESTTUN
MONTESSORISKOLEN I BERGEN,TORGNY SEGERSTEDTS VEI 27,5143,FYLLINGSDALEN
NORDNES SKOLE,NORDNESPARKEN 3,5005,BERGEN
REMA 1000 NATTLAND,NATTLANDSVEIEN 126,5094,BERGEN
SANDGOTNA SKOLE SPESIALKLASSER - Ragnhild Woldseth,ELVETUN 18,5172,LODDEFJORD
SLETTEBAKKEN SKOLE,VILHELM BJERKNES' VEI 15,5081,BERGEN
SØFTELAND SKULE,LERKEVEGEN 2,5212,SØFTELAND
REMA 1000 Mongstad,MONGSTADVEGEN 1020,5954,MONGSTAD
SPAR Seimstrand,LUREVEGEN 88,5912,SEIM
REMA 1000 EIDSVÅG,ERVIKVEIEN 11,5106,ØVRE ERVIK
REMA 1000 ÅSANE SENTER,ÅSANE SENTER 51,5116,ULSET
BERGENSAVISEN - Erik Aarebrot,Postboks 824 Sentrum,5807,BERGEN
REMA 1000 HELLEVEIEN,SØRE ØYJORDEN 75,5038,BERGEN
SPAR Nore Neset,ULVENVEGEN 373,5217,HAGAVIK
NARVESEN 749 NEDRE TORGET,TORGET 6A,5014,BERGEN
CAFFE DALLUCCI,ODD FRANTZENS PLASS 5,5008,BERGEN
KIWI 802 Storebotn,STOREBOTN 1,5309,KLEPPESTØ
Extra Haukedalen,HAUKEDALEN 1,5121,ULSET
FLAKTVEIT SKOLE,FLAKTVEITSVINGANE 17,5135,FLAKTVEIT
CHRISTI KRYBBE SKOLE,VETRLIDSALLMENNINGEN 10,5014,BERGEN
BREIMYRA SKOLE - Jorunn Tjoflaat,BREIMYRA 68,5134,FLAKTVEIT
FJELLSDALEN SKOLE - Lise Mæland,FJELLSDALEN 15,5155,BØNES
DAMSGÅRD SKOLE - Merete Tveito,HERMAN GRANS VEI 2,5162,LAKSEVÅG
AURDALSLIA SKOLE,AURDALSLIA 30,5253,SANDSLI
FUSA OPPVEKST AVD SKOLE - Linn Waage,GJERDEVEGEN 40,5641,FUSA
AURLAND BARNE OG UNGD - Atle Vetti,SKULEVEGEN 1,5745,AURLAND
BØNES SKOLE - Eva Tvedt,BØNESBERGET 1,5153,BØNES
BLOMVÅG SKULE - Ruth Ottesen,HØGESETA 1,5337,RONG
BJØRNDALSSKOGEN SKOLE - Jannicke Sjursen,BJØRNDALSSKOGEN 37,5170,BJØRNDALSTRÆ
HAUKELAND SKOLE,STEMMEVEIEN 1,5009,BERGEN
HOLEN SKOLE (BARNETR.) - Yasmin M Stray Breistein,DAG HAMMARSKJÖLDS VEI 7,5144,FYLLINGSDALEN
HORDVIK SKOLE,MIDTRE PRESTAVEGEN 18,5108,HORDVIK
KALVATRÆET SKOLE - Karianne Angelsen,KALVATRÆET 37,5106,ØVRE ERVIK
LODDEFJORD SKOLE - Magrethe Prestnes,ELVETUN 27,5172,LODDEFJORD
LODDEFJORD SKOLE - Espen Halland,ELVETUN 27,5172,LODDEFJORD
GARNES SKULE,ØVRE SEIMSMARK 52,5260,INDRE ARNA
HAUKEDALEN SKOLE - Ragnhild Markhus,HESTHAUGVEGEN 91,5119,ULSET
KRONSTAD SKOLE - Solveig Øvereng,EDVARD GRIEGS VEI 29,5053,BERGEN
LI SKOLE - Jo Terje Haldorsen,LIAKROKEN 29,5132,NYBORG
JOKER VESTKANTEN,LODDEFJORDVEIEN 2,5171,LODDEFJORD
LYSHOVDEN OPPVEKSTTUN,LILLEHATTEN 3,5148,FYLLINGSDALEN
LONE SKULE,LONALEITET 131,5268,HAUKELAND
MINDE SKOLE - Inger Furu,GRØNNESTØLSVEIEN 22,5073,BERGEN
MØLLEBAKKEN SKOLE,JØRGEN MOES GATE 26,5053,BERGEN
NY KROHNBORG SKOLE - Hanne Gullaksen Sletvik,ROGAGATEN 9,5055,BERGEN
NY KROHNBORG SKOLE - Kari Reiakvam,ROGAGATEN 9,5055,BERGEN
NY KROHNBORG SKOLE,ROGAGATEN 9,5055,BERGEN
MONTESSORISKOLEN I BERGEN - Synne Pedersen,TORGNY SEGERSTEDTS VEI 27,5143,FYLLINGSDALEN
LØVÅS SKOLE - Roger Stjernberg,NEBBEVEIEN 1,5144,FYLLINGSDALEN
LØVÅS SKOLE - Hilde Hatlestad,NEBBEVEIEN 1,5144,FYLLINGSDALEN
LYNGHAUG SKOLE - Carl-Tore Ellertsen,DAG HAMMARSKJÖLDS VEI 7,5144,FYLLINGSDALEN
NATTLAND SKOLE - Anders Andre Eriksen,MERKURVEGEN 30,5099,BERGEN
NATTLAND SKOLE - Stine Langeland,MERKURVEGEN 30,5099,BERGEN
SKÅLEVIK SKULE - Bente Skålevik,VESTSIDEVEGEN 265,5357,FJELL
ØYSTESE BARNESKULE - Nora Høidal,INGEBRIGT VIK-VEGEN 28,5610,ØYSTESE
STRANDEBARM SKULE,TANGERÅSNESET 35,5630,STRANDEBARM
SOLUND BARNE- OG UNGDOMSSKULE - Nina Aarøy,FV 606 250,6924,HARDBAKKE
SAMNANGER UNGDOMSSKULE - Jane Belsnes,TYSSEREINANE 16,5650,TYSSE
SALHUS SKULE,VIKAVEGEN 30,5107,SALHUS
ROLLAND SKOLE - Kjersti Lunde,ÅSLIA 13,5115,ULSET
PARADIS SKOLE - Harald Olsvik,STATSMINISTER MICHELSENS VEG 55,5230,PARADIS
SØFTELAND SKULE - Karianne Kyte,LERKEVEGEN 2,5212,SØFTELAND
YTRE ARNA SKULE,BANKVEGEN 11,5265,YTRE ARNA
YTRE ARNA SKULE - Linn Hammersland,BANKVEGEN 11,5265,YTRE ARNA
VESTBYGD SKULE - Asle Jermund Ones,HOLMEMARKA 5,5918,FREKHAUG
RUDOLF STEINERSKOLEN I BERGEN - Lene Hjortland Skå,RIEBER-MOHNS VEG 15,5230,PARADIS
SÆLEN OPPVEKSTTUN - Knut Stølås,TORGNY SEGERSTEDTS VEI 4,5143,FYLLINGSDALEN
ÅDNAMARKA SKOLE,EIKHAUGEN 20,5262,ARNATVEIT
SAGSTAD SKOLE - Sagstad skule,Sagstadvegen 76,5918,FREKHAUG
Joker Ervik,ERVIKVEIEN 72,5106,ØVRE ERVIK
Fusa Ungdomsskule,BRAKABYGDA 33,5640,EIKELANDSOSEN
MATKROKEN STRØNEN,WERNERSHOLMVEGEN 53,5232,PARADIS
Narvesen 762 Olav Kyrresgate,OLAV KYRRES GATE 11,5014,BERGEN
Joker Vossestrand,MYRKDALSVEGEN 3,5713,VOSSESTRAND
JOHANNES BØYUM - Avis i Skolen /Bg kommune,ZANDER KAAES GATE 6,5015,BERGEN
KIWI 833 DAMSGÅRDSSUNDET,DAMSGÅRDSVEIEN 62,5058,BERGEN
KIWI 861 IDRETTSVEGEN,IDRETTSVEGEN 2,5210,OS
EXTRA BERGEN STORSENTER,STRØMGATEN 8,5015,BERGEN
ESSO NYBORG,ÅSAMYRANE 275,5131,NYBORG
REMA 1000 Morvik,SLETTEVIKVEGEN 1,5124,MORVIK
KIWI 836 NESTTUN SENTRUM,NESTTUNVEGEN 90,5221,NESTTUN
EXTRA SØREIDE,STEINSVIKVEGEN 2,5251,SØREIDGREND
