avis,Frekvens,postnummer, antall
42,24,7491,  1 
42,24,8001,  1 
42,24,8006,  3 
42,24,8012,  1 
42,24,8023,  1 
42,24,8038,  1 
42,24,8048,  1 
42,24,8049,  1 
42,24,8092,  1 
42,24,8208,  1 
42,24,8301,  29 
42,24,8305,  10 
42,24,8309,  4 
42,24,8311,  1 
42,24,8376,  16 
42,24,8378,  3 
42,24,8388,  3 
42,24,8398,  1 
42,24,8401,  1 
42,24,8439,  1 
42,24,8455,  1 
42,24,8501,  1 
42,24,8505,  2 
42,24,8507,  1 
42,24,8607,  1 
42,24,8651,  1 
42,24,9011,  1 
42,24,9037,  1 
42,24,9104,  1 
42,24,9299,  1 
42,24,9407,  1 
42,24,9409,  1 
42,24,9479,  1 
42,24,9480,  1 
41,4,121,  1 
41,4,282,  1 
41,4,378,  1 
41,4,381,  1 
41,4,382,  1 
41,4,461,  1 
41,4,576,  1 
41,4,587,  1 
41,4,593,  1 
41,4,654,  1 
41,4,674,  1 
41,4,681,  2 
41,4,786,  1 
41,4,952,  1 
41,4,953,  1 
41,4,981,  1 
41,4,986,  1 
41,4,1053,  1 
41,4,1086,  1 
41,4,1160,  1 
41,4,1453,  2 
41,4,1459,  1 
41,4,1482,  1 
41,4,1542,  1 
41,4,1607,  1 
41,4,1639,  1 
41,4,1929,  1 
41,4,3030,  1 
41,4,3045,  1 
41,4,3215,  1 
41,4,3736,  1 
41,4,4018,  1 
41,4,4158,  1 
41,4,4631,  1 
41,4,4842,  1 
41,4,4846,  1 
41,4,5022,  1 
41,4,5221,  1 
41,4,5353,  2 
41,4,5542,  1 
41,4,5916,  1 
41,4,6065,  1 
41,4,7042,  1 
41,4,7048,  1 
41,4,7083,  1 
41,4,8001,  2 
41,4,8003,  2 
41,4,8005,  2 
41,4,8009,  2 
41,4,8011,  1 
41,4,8012,  1 
41,4,8014,  1 
41,4,8020,  1 
41,4,8022,  1 
41,4,8027,  1 
41,4,8029,  1 
41,4,8038,  1 
41,4,8092,  1 
41,4,8301,  4 
41,4,8376,  21 
41,4,8378,  6 
41,4,8388,  4 
41,4,8607,  1 
41,4,8651,  1 
41,4,9008,  1 
41,4,9014,  1 
41,4,9019,  1 
41,4,9024,  1 
41,4,9037,  1 
41,4,9409,  1 
52,24,121,  2 
52,24,177,  1 
52,24,203,  1 
52,24,280,  1 
52,24,486,  1 
52,24,661,  1 
52,24,687,  1 
52,24,973,  1 
52,24,984,  1 
52,24,1458,  1 
52,24,2013,  1 
52,24,2383,  1 
52,24,4016,  1 
52,24,4019,  1 
52,24,4049,  1 
52,24,7022,  1 
52,24,7036,  1 
52,24,7059,  1 
52,24,7560,  1 
52,24,7651,  1 
52,24,7653,  1 
52,24,8001,  1 
52,24,8013,  1 
52,24,8038,  1 
52,24,8505,  1 
52,24,8507,  1 
52,24,8601,  31 
52,24,8602,  6 
52,24,8607,  5 
52,24,8619,  1 
52,24,8638,  1 
52,24,8641,  2 
52,24,8644,  1 
52,24,8648,  1 
52,24,8651,  1 
52,24,8701,  2 
52,24,9011,  1 
52,24,9299,  1 
52,24,9479,  1 
52,24,SE,  1 
32,245,26,  1 
32,245,121,  1 
32,245,176,  1 
32,245,214,  1 
32,245,262,  1 
32,245,351,  1 
32,245,454,  1 
32,245,550,  1 
32,245,566,  1 
32,245,588,  1 
32,245,594,  1 
32,245,651,  1 
32,245,672,  1 
32,245,676,  1 
32,245,754,  1 
32,245,789,  1 
32,245,877,  1 
32,245,952,  1 
